,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
125,1304047,1,19,6,RA Jadeja,AD Russell,MS Dhoni,,6,0,6,0,0,,,,Chennai Super Kings
126,1304047,2,0,1,AM Rahane,TU Deshpande,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
127,1304047,2,0,2,AM Rahane,TU Deshpande,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
128,1304047,2,0,3,AM Rahane,TU Deshpande,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
129,1304047,2,0,4,AM Rahane,TU Deshpande,VR Iyer,,2,0,2,0,0,,,,Kolkata Knight Riders
130,1304047,2,0,5,AM Rahane,TU Deshpande,VR Iyer,,4,0,4,0,0,,,,Kolkata Knight Riders
131,1304047,2,0,6,AM Rahane,TU Deshpande,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
132,1304047,2,1,1,VR Iyer,AF Milne,AM Rahane,,2,0,2,0,0,,,,Kolkata Knight Riders
133,1304047,2,1,2,VR Iyer,AF Milne,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
134,1304047,2,1,3,VR Iyer,AF Milne,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
135,1304047,2,1,4,VR Iyer,AF Milne,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
136,1304047,2,1,5,VR Iyer,AF Milne,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
137,1304047,2,1,6,VR Iyer,AF Milne,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
138,1304047,2,2,1,AM Rahane,TU Deshpande,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
139,1304047,2,2,2,AM Rahane,TU Deshpande,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
140,1304047,2,2,3,AM Rahane,TU Deshpande,VR Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
141,1304047,2,2,4,VR Iyer,TU Deshpande,AM Rahane,,2,0,2,0,0,,,,Kolkata Knight Riders
142,1304047,2,2,5,VR Iyer,TU Deshpande,AM Rahane,,4,0,4,0,0,,,,Kolkata Knight Riders
143,1304047,2,2,6,VR Iyer,TU Deshpande,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
144,1304047,2,3,1,AM Rahane,AF Milne,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
145,1304047,2,3,2,AM Rahane,AF Milne,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
146,1304047,2,3,3,AM Rahane,AF Milne,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
147,1304047,2,3,4,AM Rahane,AF Milne,VR Iyer,,4,0,4,0,0,,,,Kolkata Knight Riders
148,1304047,2,3,5,AM Rahane,AF Milne,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
149,1304047,2,3,6,AM Rahane,AF Milne,VR Iyer,,6,0,6,0,0,,,,Kolkata Knight Riders
150,1304047,2,4,1,VR Iyer,TU Deshpande,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
151,1304047,2,4,2,VR Iyer,TU Deshpande,AM Rahane,,4,0,4,0,0,,,,Kolkata Knight Riders
152,1304047,2,4,3,VR Iyer,TU Deshpande,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
153,1304047,2,4,4,AM Rahane,TU Deshpande,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
154,1304047,2,4,5,AM Rahane,TU Deshpande,VR Iyer,,4,0,4,0,0,,,,Kolkata Knight Riders
155,1304047,2,4,6,AM Rahane,TU Deshpande,VR Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
156,1304047,2,5,1,AM Rahane,MJ Santner,VR Iyer,,4,0,4,0,0,,,,Kolkata Knight Riders
157,1304047,2,5,2,AM Rahane,MJ Santner,VR Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
158,1304047,2,5,3,VR Iyer,MJ Santner,AM Rahane,,2,0,2,0,0,,,,Kolkata Knight Riders
159,1304047,2,5,4,VR Iyer,MJ Santner,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
160,1304047,2,5,5,AM Rahane,MJ Santner,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
161,1304047,2,5,6,AM Rahane,MJ Santner,VR Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
162,1304047,2,6,1,VR Iyer,DJ Bravo,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
163,1304047,2,6,2,VR Iyer,DJ Bravo,AM Rahane,,0,0,0,0,1,VR Iyer,caught,MS Dhoni,Kolkata Knight Riders
164,1304047,2,6,3,N Rana,DJ Bravo,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
165,1304047,2,6,4,N Rana,DJ Bravo,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
166,1304047,2,6,5,N Rana,DJ Bravo,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
167,1304047,2,6,6,N Rana,DJ Bravo,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
168,1304047,2,7,1,N Rana,S Dube,AM Rahane,,4,0,4,0,0,,,,Kolkata Knight Riders
169,1304047,2,7,2,N Rana,S Dube,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
170,1304047,2,7,3,AM Rahane,S Dube,N Rana,,1,0,1,0,0,,,,Kolkata Knight Riders
171,1304047,2,7,4,N Rana,S Dube,AM Rahane,,4,0,4,0,0,,,,Kolkata Knight Riders
172,1304047,2,7,5,N Rana,S Dube,AM Rahane,byes,0,4,4,0,0,,,,Kolkata Knight Riders
173,1304047,2,7,6,N Rana,S Dube,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
174,1304047,2,8,1,N Rana,MJ Santner,AM Rahane,,6,0,6,0,0,,,,Kolkata Knight Riders
175,1304047,2,8,2,N Rana,MJ Santner,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
176,1304047,2,8,3,AM Rahane,MJ Santner,N Rana,,1,0,1,0,0,,,,Kolkata Knight Riders
177,1304047,2,8,4,N Rana,MJ Santner,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
178,1304047,2,8,5,AM Rahane,MJ Santner,N Rana,,1,0,1,0,0,,,,Kolkata Knight Riders
179,1304047,2,8,6,N Rana,MJ Santner,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
180,1304047,2,9,1,N Rana,DJ Bravo,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
181,1304047,2,9,2,AM Rahane,DJ Bravo,N Rana,,4,0,4,0,0,,,,Kolkata Knight Riders
182,1304047,2,9,3,AM Rahane,DJ Bravo,N Rana,,1,0,1,0,0,,,,Kolkata Knight Riders
183,1304047,2,9,4,N Rana,DJ Bravo,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
184,1304047,2,9,5,N Rana,DJ Bravo,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
185,1304047,2,9,6,N Rana,DJ Bravo,AM Rahane,,0,0,0,0,1,N Rana,caught,AT Rayudu,Kolkata Knight Riders
186,1304047,2,10,1,AM Rahane,RA Jadeja,SS Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
187,1304047,2,10,2,AM Rahane,RA Jadeja,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
188,1304047,2,10,3,SS Iyer,RA Jadeja,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
189,1304047,2,10,4,AM Rahane,RA Jadeja,SS Iyer,,4,0,4,0,0,,,,Kolkata Knight Riders
190,1304047,2,10,5,AM Rahane,RA Jadeja,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
